适用的包,类目名称,cateId
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品>旅行洗护用品>旅行洗发水,121414014
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品>旅行洗护用品>旅行洗面奶,121484017
类目公域行为,基础建材>o2o特权订金（天猫专用）,124794004
类目公域行为,基础建材>o2o特权订金（天猫专用）>乳胶漆O2O（天猫专用）,124804006
类目公域行为,基础建材>家用五金,50020486
类目公域行为,基础建材>家用五金>绳/链/钩>套环,50013455
类目公域行为,计生用品>避孕套,50024154
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具,50009146
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>耳勺,50007005
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>发圈/发网,50022428
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>面扑/粉扑,50019039
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>沐浴按摩用品,50019038
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>喷瓶/面霜分装瓶,50021852
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>洗脸刷/化妆刷,50021304
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>洗漱包,50007167
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>浴帽,213201
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>梳子/便携用镜>梳子/化妆梳/按摩梳,50002816
类目公域行为,家庭/个人清洁工具>个人洗护清洁用具>指甲刀/指甲钳>指甲钳,50006687
类目公域行为,家庭/个人清洁工具>家务/地板清洁用具,50003949
类目公域行为,家庭/个人清洁工具>家务/地板清洁用具>围裙,121370008
类目公域行为,家庭/个人清洁工具>家务/地板清洁用具>刷子>精密仪器刷,50025794
类目公域行为,家庭/个人清洁工具>家务/地板清洁用具>拖把>平板拖把,50025787
类目公域行为,家庭/个人清洁工具>家务/地板清洁用具>拖把>水拖,50026092
类目公域行为,家庭/个人清洁工具>家务/地板清洁用具>拖把配件>胶棉拖把头,50025824
类目公域行为,家庭/个人清洁工具>男士理容工具,201850403
类目公域行为,家庭/个人清洁工具>男士理容工具>剃须刀,121454005
类目公域行为,家庭/个人清洁工具>男士理容工具>剃须刀片,121426003
类目公域行为,家庭/个人清洁工具>卫浴/置物用具,2132
类目公域行为,家庭/个人清洁工具>卫浴/置物用具>杯架,121462028
类目公域行为,家庭/个人清洁工具>卫浴/置物用具>起泡网,201303005
类目公域行为,家装灯饰光源>家居类灯饰,50019935
类目公域行为,家装灯饰光源>家居类灯饰>小夜灯,50019936
类目公域行为,教育培训>兴趣素质培训,124720004
类目公域行为,教育培训>兴趣素质培训>生活文艺兴趣培训,124714006
类目公域行为,节庆用品/礼品>创意礼品,122968003
类目公域行为,节庆用品/礼品>创意礼品>创意礼盒/礼品套组,50003854
类目公域行为,节庆用品/礼品>婚庆用品,122998001
类目公域行为,节庆用品/礼品>婚庆用品>糖盒/糖盒配件,50010042
类目公域行为,节庆用品/礼品>节日用品,200882003
类目公域行为,节庆用品/礼品>节日用品>春节礼盒,201327001
类目公域行为,节庆用品/礼品>节日用品>圣诞礼品,50025856
类目公域行为,节庆用品/礼品>文化创意用品,124546013
类目公域行为,节庆用品/礼品>文化创意用品>文化创意杯子,124578005
类目公域行为,节庆用品/礼品>文化创意用品>文化创意餐具,124570006
类目公域行为,节庆用品/礼品>装扮用品,200878002
类目公域行为,节庆用品/礼品>装扮用品>蜡烛,50018426
类目公域行为,居家布艺>毛巾/浴巾/浴袍,50010103
类目公域行为,居家布艺>毛巾/浴巾/浴袍>干发毛巾,201236601
类目公域行为,居家布艺>毛巾/浴巾/浴袍>毛巾/面巾,50000563
类目公域行为,居家布艺>毛巾/浴巾/浴袍>一次性浴巾,201241104
类目公域行为,居家日用>防护用品,50012514
类目公域行为,居家日用>防护用品>口罩,50003458
类目公域行为,居家日用>居家日用套装,201022003
类目公域行为,居家日用>美体/塑身塑形/增高用具,50023068
类目公域行为,居家日用>美体/塑身塑形/增高用具>美容小工具,50011157
类目公域行为,居家日用>其它,50006277
类目公域行为,居家日用>驱虫用品,50025838
类目公域行为,居家日用>驱虫用品>驱蚊喷雾/走珠,127654044
类目公域行为,居家日用>伞/雨具/防雨/防潮,50010099
类目公域行为,居家日用>伞/雨具/防雨/防潮>伞,210211
类目公域行为,咖啡/麦片/冲饮>冲饮品/食补粉粉,50009857
类目公域行为,咖啡/麦片/冲饮>冲饮品/食补粉粉>冻干粉/块冲饮,201803101
类目公域行为,咖啡/麦片/冲饮>冲饮品/食补粉粉>青汁,201156608
类目公域行为,零食/坚果/特产>饼干/膨化,50010550
类目公域行为,零食/坚果/特产>饼干/膨化>饼干（新）>韧性饼干,124606001
类目公域行为,零食/坚果/特产>果冻/布丁,50016093
类目公域行为,旅行购物>OTC药品/医疗器械/计生用,201197001
类目公域行为,旅行购物>OTC药品/医疗器械/计生用>OTC药品>皮肤科用药,201231406
类目公域行为,旅行购物>保健食品/膳食营养补充食品,201152708
类目公域行为,旅行购物>保健食品/膳食营养补充食品>海外膳食营养补充食品,201173109
类目公域行为,旅行购物>彩妆/香水/美妆工具,201152308
类目公域行为,旅行购物>彩妆/香水/美妆工具>BB霜,201151407
类目公域行为,旅行购物>彩妆/香水/美妆工具>唇彩/唇蜜,201148607
类目公域行为,旅行购物>彩妆/香水/美妆工具>唇膏/口红,201155203
类目公域行为,旅行购物>彩妆/香水/美妆工具>粉饼,201152109
类目公域行为,旅行购物>彩妆/香水/美妆工具>粉底液/膏,201152805
类目公域行为,旅行购物>彩妆/香水/美妆工具>隔离/妆前,201150610
类目公域行为,旅行购物>彩妆/香水/美妆工具>化妆/美容工具,201156205
类目公域行为,旅行购物>彩妆/香水/美妆工具>睫毛膏/睫毛增长液,201152705
类目公域行为,旅行购物>彩妆/香水/美妆工具>眉笔/眉粉/眉膏,201152010
类目公域行为,旅行购物>彩妆/香水/美妆工具>蜜粉/散粉,201153204
类目公域行为,旅行购物>彩妆/香水/美妆工具>腮红/胭脂,201155105
类目公域行为,旅行购物>彩妆/香水/美妆工具>眼线,201150307
类目公域行为,旅行购物>彩妆/香水/美妆工具>眼影,201152309
类目公域行为,旅行购物>彩妆/香水/美妆工具>遮瑕,201148310
类目公域行为,旅行购物>个人护理,201155104
类目公域行为,旅行购物>个人护理>美发护发/假发>护发产品,201174207
类目公域行为,旅行购物>个人护理>美发护发/假发>头发造型,201174514
类目公域行为,旅行购物>个人护理>美发护发/假发>洗发水,201170610
类目公域行为,旅行购物>个人护理>洗护清洁>香皂/洁面产品,201172313
类目公域行为,旅行购物>美容护肤/美体/精油,201152807
类目公域行为,旅行购物>美容护肤/美体/精油>唇部护理,201158603
类目公域行为,旅行购物>美容护肤/美体/精油>防晒,201159302
类目公域行为,旅行购物>美容护肤/美体/精油>护手霜,201160901
类目公域行为,旅行购物>美容护肤/美体/精油>化妆水/爽肤水,201161101
类目公域行为,旅行购物>美容护肤/美体/精油>洁面,201161502
类目公域行为,旅行购物>美容护肤/美体/精油>面部护理套装,201160004
类目公域行为,旅行购物>美容护肤/美体/精油>面部精华,201157002
类目公域行为,旅行购物>美容护肤/美体/精油>面膜,201160801
类目公域行为,旅行购物>美容护肤/美体/精油>乳液/面霜,201161001
类目公域行为,旅行购物>美容护肤/美体/精油>卸妆,201159902
类目公域行为,旅行购物>美容护肤/美体/精油>身体护理>身体护理套装,201158402
类目公域行为,旅行购物>美容护肤/美体/精油>身体护理>身体乳/霜,201162401
类目公域行为,旅行购物>美容护肤/美体/精油>身体护理>止汗露,201162301
类目公域行为,旅行购物>美容护肤/美体/精油>眼部护理>眼部护理套装,201161901
类目公域行为,旅行购物>美容护肤/美体/精油>眼部护理>眼部精华,201157204
类目公域行为,旅行购物>美容护肤/美体/精油>眼部护理>眼膜,201158303
类目公域行为,旅行购物>美容护肤/美体/精油>眼部护理>眼霜,201162001
类目公域行为,旅行购物>洗护清洁剂/卫生巾/纸/香薰,201194001
类目公域行为,旅行购物>洗护清洁剂/卫生巾/纸/香薰>头发清洁/护理/造型>护发素,201260483
类目公域行为,美发护发/假发>假发,50023283
类目公域行为,美发护发/假发>假发>假发发箍,50023290
类目公域行为,美发护发/假发>假发>假发配件,121398022
类目公域行为,美发护发/假发>假发>假发梳子,121388029
类目公域行为,美发护发/假发>假发>直发片,50023289
类目公域行为,美发护发/假发>男士个人护理,127668025
类目公域行为,美发护发/假发>男士个人护理>男士头皮护理,127660031
类目公域行为,美发护发/假发>男士个人护理>男士洗发水,127668028
类目公域行为,美发护发/假发>男士个人护理>男士造型,127656029
类目公域行为,美发护发/假发>染发烫发,50023294
类目公域行为,美发护发/假发>染发烫发>补发笔/发际线粉,201858601
类目公域行为,美发护发/假发>染发烫发>彩染,50023326
类目公域行为,美发护发/假发>染发烫发>短效染发剂,201167901
类目公域行为,美发护发/假发>染发烫发>盖白,201843906
类目公域行为,美发护发/假发>染发烫发>漂发剂,201847304
类目公域行为,美发护发/假发>染发烫发>其它染发烫发产品,50023328
类目公域行为,美发护发/假发>染发烫发>烫发水,50023327
类目公域行为,美发护发/假发>头发护理,127692023
类目公域行为,美发护发/假发>头发护理>发膜/蒸汽发膜/焗油膏,201307623
类目公域行为,美发护发/假发>头发护理>护发精华/喷雾/次抛/安瓶,201168001
类目公域行为,美发护发/假发>头发护理>护发精油,127738001
类目公域行为,美发护发/假发>头发护理>护发素,201310704
类目公域行为,美发护发/假发>头发护理>其它护发,121410029
类目公域行为,美发护发/假发>头发清洁,201853303
类目公域行为,美发护发/假发>头发清洁>免洗洗发水/喷雾,201858401
类目公域行为,美发护发/假发>头发清洁>洗发水,121396029
类目公域行为,美发护发/假发>头发清洁>洗护套装/礼盒,121476023
类目公域行为,美发护发/假发>头发造型（新）,201858201
类目公域行为,美发护发/假发>头发造型（新）>定型喷雾,201857802
类目公域行为,美发护发/假发>头发造型（新）>发胶/发泥/发蜡,50023293
类目公域行为,美发护发/假发>头发造型（新）>摩丝/啫喱,50016885
类目公域行为,美发护发/假发>头皮护理,201847006
类目公域行为,美发护发/假发>头皮护理>头皮精油/精华,127736001
类目公域行为,美发护发/假发>头皮护理>头皮磨砂膏,201858701
类目公域行为,美发护发/假发>洗发护发,50023292
类目公域行为,美容护肤/美体/精油>T区护理（新）,121408009
类目公域行为,美容护肤/美体/精油>T区护理（新）>T区护理套装,121450012
类目公域行为,美容护肤/美体/精油>T区护理（新）>鼻贴,121402005
类目公域行为,美容护肤/美体/精油>T区护理（新）>黑头导出液,121388012
类目公域行为,美容护肤/美体/精油>唇部护理,50011994
类目公域行为,美容护肤/美体/精油>唇部护理（新）,121448009
类目公域行为,美容护肤/美体/精油>唇部护理（新）>唇部护理套装,121454017
类目公域行为,美容护肤/美体/精油>唇部护理（新）>唇部精华,121456011
类目公域行为,美容护肤/美体/精油>唇部护理（新）>唇部磨砂,121476007
类目公域行为,美容护肤/美体/精油>唇部护理（新）>唇膜,121366015
类目公域行为,美容护肤/美体/精油>唇部护理（新）>润唇膏,121418013
类目公域行为,美容护肤/美体/精油>唇部护理（新）>润唇啫喱,121392016
类目公域行为,美容护肤/美体/精油>防晒（新）,201173303
类目公域行为,美容护肤/美体/精油>防晒（新）>防晒膏/防晒粉末,201744402
类目公域行为,美容护肤/美体/精油>防晒（新）>防晒喷雾,201171302
类目公域行为,美容护肤/美体/精油>防晒（新）>防晒霜,50011982
类目公域行为,美容护肤/美体/精油>化妆水/爽肤水,50011978
类目公域行为,美容护肤/美体/精油>洁面,50011977
类目公域行为,美容护肤/美体/精油>精油芳疗,50011992
类目公域行为,美容护肤/美体/精油>精油芳疗>单方精油,50011999
类目公域行为,美容护肤/美体/精油>精油芳疗>复方精油,50012000
类目公域行为,美容护肤/美体/精油>精油芳疗>基底精油,50012001
类目公域行为,美容护肤/美体/精油>精油芳疗>手工皂/精油皂,50012004
类目公域行为,美容护肤/美体/精油>精油芳疗>精油芳疗用具>面霜罐,121408012
类目公域行为,美容护肤/美体/精油>颈部护理,201845606
类目公域行为,美容护肤/美体/精油>颈部护理>颈膜,121458012
类目公域行为,美容护肤/美体/精油>颈部护理>颈霜,121388016
类目公域行为,美容护肤/美体/精油>局部护理,201848908
类目公域行为,美容护肤/美体/精油>局部护理>除毛凝胶,121400010
类目公域行为,美容护肤/美体/精油>局部护理>爽身粉/痱子粉,121450013
类目公域行为,美容护肤/美体/精油>局部护理>脱毛膏,121474011
类目公域行为,美容护肤/美体/精油>局部护理>止汗露,121392015
类目公域行为,美容护肤/美体/精油>旅行装/体验装,125178006
类目公域行为,美容护肤/美体/精油>面部按摩霜,50011996
类目公域行为,美容护肤/美体/精油>面部护理套装,50011993
类目公域行为,美容护肤/美体/精油>面部精华（新）,201174001
类目公域行为,美容护肤/美体/精油>面部精华（新）>安瓶/原液,201168604
类目公域行为,美容护肤/美体/精油>面部精华（新）>粉状精华,201173503
类目公域行为,美容护肤/美体/精油>面部精华（新）>精华油,201750001
类目公域行为,美容护肤/美体/精油>面部精华（新）>液态精华,50011979
类目公域行为,美容护肤/美体/精油>面部磨砂/去角质,50011997
类目公域行为,美容护肤/美体/精油>面膜/面膜粉,50011981
类目公域行为,美容护肤/美体/精油>面膜（新）,121390006
类目公域行为,美容护肤/美体/精油>面膜（新）>贴片面膜,121474010
类目公域行为,美容护肤/美体/精油>面膜（新）>涂抹面膜,121408011
类目公域行为,美容护肤/美体/精油>男士护理,50011988
类目公域行为,美容护肤/美体/精油>男士面部护理,121368010
类目公域行为,美容护肤/美体/精油>男士面部护理>男士唇部磨砂膏,121364026
类目公域行为,美容护肤/美体/精油>男士面部护理>男士防晒乳霜,121458034
类目公域行为,美容护肤/美体/精油>男士面部护理>男士护理套装,121404031
类目公域行为,美容护肤/美体/精油>男士面部护理>男士洁面,121452027
类目公域行为,美容护肤/美体/精油>男士面部护理>男士面部精华,121756003
类目公域行为,美容护肤/美体/精油>男士面部护理>男士面部磨砂膏,121850007
类目公域行为,美容护肤/美体/精油>男士面部护理>男士面部乳霜,121410035
类目公域行为,美容护肤/美体/精油>男士面部护理>男士面膜,121426033
类目公域行为,美容护肤/美体/精油>男士面部护理>男士喷雾,121386035
类目公域行为,美容护肤/美体/精油>男士面部护理>男士润唇膏,121398029
类目公域行为,美容护肤/美体/精油>男士面部护理>男士爽肤水,121392037
类目公域行为,美容护肤/美体/精油>男士面部护理>男士剃须膏,121482026
类目公域行为,美容护肤/美体/精油>男士面部护理>男士须后水,121414041
