适用的包,属性类型,属性ID,Value,ValueID
类目公域行为,功效,122216905,清洁,3315837
类目公域行为,功效,122216905,清爽,3308237
类目公域行为,功效,122216905,去疤,3447998
类目公域行为,功效,122216905,去黑头,3308239
类目公域行为,功效,122216905,去红血丝,3330365
类目公域行为,功效,122216905,去角质,84464
类目公域行为,功效,122216905,去异味、增香清新,34366888833
类目公域行为,功效,122216905,润肤,3317215
类目公域行为,功效,122216905,收缩毛孔,84468
类目公域行为,功效,122216905,舒护,61349028
类目公域行为,功效,122216905,舒缓,3422556
类目公域行为,功效,122216905,水嫩,3357724
类目公域行为,功效,122216905,提亮肤色,3260583
类目公域行为,功效,122216905,提升气色,153025721
类目公域行为,功效,122216905,温和#敏感肌适用,37475061663
类目公域行为,功效,122216905,消除水肿,12849397
类目公域行为,功效,122216905,消印,4036141
类目公域行为,功效,122216905,修护,3320853
类目公域行为,功效,122216905,修饰肤色,6330054
类目公域行为,功效,122216905,修颜,3492686
类目公域行为,功效,122216905,抑菌,6345934
类目公域行为,功效,122216905,隐形毛孔,6788624
类目公域行为,功效,122216905,妆前打底,21939449
类目公域行为,功效,122216905,滋养,3316091
类目公域行为,功效,122216905,祛斑美白,3351867
类目公域行为,功效,122216905,祛痘,3260508
类目公域行为,功效,122216905,靓泽,183294609
类目公域行为,规格类型,122276080,1.5g,43148
类目公域行为,规格类型,122276080,100ml,18710246059
类目公域行为,规格类型,122276080,10ml,18097953068
类目公域行为,规格类型,122276080,120ml,18710246060
类目公域行为,规格类型,122276080,125ml,18710248053
类目公域行为,规格类型,122276080,12ml,18375814411
类目公域行为,规格类型,122276080,139g,14176060
类目公域行为,规格类型,122276080,150g,75367458
类目公域行为,规格类型,122276080,150ml,18247436223
类目公域行为,规格类型,122276080,15ml,18097956074
类目公域行为,规格类型,122276080,1ml,18713370015
类目公域行为,规格类型,122276080,200ML,22294573300
类目公域行为,规格类型,122276080,20g/袋,7375028
类目公域行为,规格类型,122276080,20g/瓶,4084665
类目公域行为,规格类型,122276080,20g/支,6932995
类目公域行为,规格类型,122276080,20ml,18097957078
类目公域行为,规格类型,122276080,20ML,18097956078
类目公域行为,规格类型,122276080,21g,47830
类目公域行为,规格类型,122276080,28g,48700
类目公域行为,规格类型,122276080,30g/瓶,4084001
类目公域行为,规格类型,122276080,30ml,18097957072
类目公域行为,规格类型,122276080,35ml,18375734167
类目公域行为,规格类型,122276080,40g/支,4084016
类目公域行为,规格类型,122276080,40ml,18097951067
类目公域行为,规格类型,122276080,40ML,21774839154
类目公域行为,规格类型,122276080,450ml,18903965992
类目公域行为,规格类型,122276080,48g/瓶,23211020
类目公域行为,规格类型,122276080,4g,18375898187
类目公域行为,规格类型,122276080,50ml,18247436228
类目公域行为,规格类型,122276080,55ml,18097953065
类目公域行为,规格类型,122276080,59ml,23313064549
类目公域行为,规格类型,122276080,60ml,18549156249
类目公域行为,规格类型,122276080,7.5ml,48920
类目公域行为,规格类型,122276080,70ml,18904016396
类目公域行为,规格类型,122276080,75ml,18710248046
类目公域行为,规格类型,122276080,80g/瓶,4412919
类目公域行为,规格类型,122276080,80ml,18710248048
类目公域行为,规格类型,122276080,便携装,3311151
类目公域行为,规格类型,122276080,大容量,3883360
类目公域行为,规格类型,122276080,单瓶装,3538052
类目公域行为,规格类型,122276080,旅行装,117168
类目公域行为,规格类型,122276080,其他,20213
类目公域行为,规格类型,122276080,试用装,3306619
类目公域行为,规格类型,122276080,套装,20520
类目公域行为,规格类型,122276080,替换装,5759012
类目公域行为,规格类型,122276080,小包装/规格,23585536770
类目公域行为,规格类型,122276080,小样,32565
类目公域行为,规格类型,122276080,正常规格,96241
类目公域行为,规格类型,122276080,中样,3358303
类目公域行为,是否进口,10177430,国产,29827
类目公域行为,是否进口,10177430,进口,3272953
类目公域行为,适合肤质,3364156,【轻度痘肌 基础装】,38306943094
类目公域行为,适合肤质,3364156,【中度痘肌 痘痘+痘印】,40678079422
类目公域行为,适合肤质,3364156,【重度痘肌 顽固痘痘痘印痘坑】,40678116257
类目公域行为,适合肤质,3364156,多种肤质,799364169
类目公域行为,适合肤质,3364156,多种肤质(敏感肌除外),35306508169
类目公域行为,适合肤质,3364156,多种肤质 仅【干性/油性/混油/混干/中性】,30527987449
类目公域行为,适合肤质,3364156,干敏性肤质,25543065810
类目公域行为,适合肤质,3364156,干皮/混干皮,9375025224
类目公域行为,适合肤质,3364156,干型、油性、混合性肤质,38147940212
类目公域行为,适合肤质,3364156,干性/特干性,40163454032
类目公域行为,适合肤质,3364156,干性、沙漠干皮肤质,40498557939
类目公域行为,适合肤质,3364156,干性、中性、混合性肤质,29028706315
类目公域行为,适合肤质,3364156,干性肤质,7094311
类目公域行为,适合肤质,3364156,干性肌肤、油性肌肤,39426637454
类目公域行为,适合肤质,3364156,干性及混合偏干肤质,26727013078
类目公域行为,适合肤质,3364156,混合偏干性肤质,58271941
类目公域行为,适合肤质,3364156,混合偏敏感性肤质,24779307051
类目公域行为,适合肤质,3364156,混合偏油性肤质,14416370276
类目公域行为,适合肤质,3364156,混合偏中性肤质,24779189754
类目公域行为,适合肤质,3364156,混合性肤质,50828553
类目公域行为,适合肤质,3364156,混油皮/油皮,9375025225
类目公域行为,适合肤质,3364156,敏感性肤质,6114866
类目公域行为,适合肤质,3364156,普通肤质,6163806
类目公域行为,适合肤质,3364156,所有肤质,15883775
类目公域行为,适合肤质,3364156,所有肤质（除敏感肌）,27324600716
类目公域行为,适合肤质,3364156,所有肤质（除油性/痘痘皮肤）,29455775925
类目公域行为,适合肤质,3364156,特干性肤质,1292780924
类目公域行为,适合肤质,3364156,油敏性肤质,24787098627
类目公域行为,适合肤质,3364156,油性肤质,4454590
类目公域行为,适合肤质,3364156,油性肌肤、混油肌肤,39426640721
类目公域行为,适合肤质,3364156,油性及混合偏油肤质,27455134152
类目公域行为,适合肤质,3364156,中性/干性,21154673
类目公域行为,适合肤质,3364156,中性、混干性肤质,40498588786
类目公域行为,适合肤质,3364156,中性、油性及混合性肌肤,1957478109
类目公域行为,适合肤质,3364156,中性肤质,7093285
类目公域行为,适合肤质,3364156,中性肤质/干性及混合偏干肤质/敏感性肤质,36467171050
类目公域行为,适合肤质,3364156,中性肤质/油性及混合性肤质/敏感性肤质,36467155279
